iter	MultiClass:use_weights=true	MultiClass
0	0.6904070532	0.6904070532
1	0.6878943447	0.6878943447
2	0.685195649	0.685195649
3	0.6830478843	0.6830478843
4	0.6806779377	0.6806779377
5	0.6784707524	0.6784707524
6	0.6765351309	0.6765351309
7	0.67400488	0.67400488
8	0.6715734826	0.6715734826
9	0.6689897727	0.6689897727
10	0.666361643	0.666361643
11	0.6640461722	0.6640461722
12	0.6620826782	0.6620826782
13	0.659706809	0.659706809
14	0.6575849264	0.6575849264
15	0.6553049119	0.6553049119
16	0.6536430362	0.6536430362
17	0.6514583029	0.6514583029
18	0.6495179448	0.6495179448
19	0.6475046384	0.6475046384
20	0.6453319833	0.6453319833
21	0.6431518423	0.6431518423
22	0.6414232793	0.6414232793
23	0.6391839195	0.6391839195
24	0.6367945059	0.6367945059
25	0.6349025043	0.6349025043
26	0.6329367747	0.6329367747
27	0.6310669073	0.6310669073
28	0.6296710989	0.6296710989
29	0.6278049379	0.6278049379
30	0.6254995837	0.6254995837
31	0.6235849818	0.6235849818
32	0.6216879071	0.6216879071
33	0.619332001	0.619332001
34	0.6176792462	0.6176792462
35	0.6155008496	0.6155008496
36	0.6134612173	0.6134612173
37	0.6116365016	0.6116365016
38	0.6093801465	0.6093801465
39	0.6072943356	0.6072943356
40	0.6051938455	0.6051938455
41	0.6033133616	0.6033133616
42	0.6012427522	0.6012427522
43	0.5991334736	0.5991334736
44	0.5971906	0.5971906
45	0.5951740774	0.5951740774
46	0.5932014562	0.5932014562
47	0.5914149382	0.5914149382
48	0.5894380822	0.5894380822
49	0.5873086045	0.5873086045
50	0.5851149705	0.5851149705
51	0.5834792693	0.5834792693
52	0.5821327415	0.5821327415
53	0.580221743	0.580221743
54	0.5782687721	0.5782687721
55	0.5765757534	0.5765757534
56	0.5745481919	0.5745481919
57	0.5730931215	0.5730931215
58	0.5710848514	0.5710848514
59	0.5692699283	0.5692699283
60	0.5671469163	0.5671469163
61	0.5653879572	0.5653879572
62	0.5637916578	0.5637916578
63	0.5617966107	0.5617966107
64	0.5602389153	0.5602389153
65	0.5587070542	0.5587070542
66	0.5570348975	0.5570348975
67	0.5556628988	0.5556628988
68	0.5539479629	0.5539479629
69	0.5523348224	0.5523348224
70	0.5501185862	0.5501185862
71	0.5487271393	0.5487271393
72	0.547285013	0.547285013
73	0.5455476721	0.5455476721
74	0.544054917	0.544054917
75	0.5424072601	0.5424072601
76	0.54079525	0.54079525
77	0.5390845258	0.5390845258
78	0.5376992687	0.5376992687
79	0.5361040673	0.5361040673
80	0.5347502395	0.5347502395
81	0.5331667561	0.5331667561
82	0.5316895758	0.5316895758
83	0.5302071608	0.5302071608
84	0.5285927461	0.5285927461
85	0.5270375353	0.5270375353
86	0.525666163	0.525666163
87	0.5239146169	0.5239146169
88	0.5224885017	0.5224885017
89	0.5210403567	0.5210403567
90	0.5198128769	0.5198128769
91	0.5185053186	0.5185053186
92	0.5170529201	0.5170529201
93	0.5155529565	0.5155529565
94	0.5135536648	0.5135536648
95	0.5125196969	0.5125196969
96	0.511444856	0.511444856
97	0.5100992	0.5100992
98	0.5086019161	0.5086019161
99	0.5070558345	0.5070558345
100	0.5055137353	0.5055137353
101	0.5040434611	0.5040434611
102	0.5027772906	0.5027772906
103	0.5014904111	0.5014904111
104	0.5001324318	0.5001324318
105	0.4988932306	0.4988932306
106	0.4974326111	0.4974326111
107	0.4960832257	0.4960832257
108	0.4949889352	0.4949889352
109	0.4938731164	0.4938731164
110	0.4924577172	0.4924577172
111	0.491075449	0.491075449
112	0.4900344616	0.4900344616
113	0.4888544304	0.4888544304
114	0.4875141764	0.4875141764
115	0.4861105661	0.4861105661
116	0.4846415091	0.4846415091
117	0.4833856928	0.4833856928
118	0.4823397378	0.4823397378
119	0.4809103873	0.4809103873
120	0.4796556111	0.4796556111
121	0.4782578647	0.4782578647
122	0.4770659627	0.4770659627
123	0.4760207532	0.4760207532
124	0.4748528102	0.4748528102
125	0.4736950172	0.4736950172
126	0.472383722	0.472383722
127	0.4709167774	0.4709167774
128	0.4697358148	0.4697358148
129	0.4686823976	0.4686823976
130	0.4673699734	0.4673699734
131	0.4663521818	0.4663521818
132	0.4653132591	0.4653132591
133	0.4639245278	0.4639245278
134	0.4623707495	0.4623707495
135	0.4610750674	0.4610750674
136	0.4599239311	0.4599239311
137	0.4589803808	0.4589803808
138	0.4576987498	0.4576987498
139	0.4564193523	0.4564193523
140	0.4551848375	0.4551848375
141	0.4539996202	0.4539996202
142	0.4530054625	0.4530054625
143	0.4516448884	0.4516448884
144	0.4505261683	0.4505261683
145	0.4492627489	0.4492627489
146	0.4481665857	0.4481665857
147	0.4472208328	0.4472208328
148	0.445984505	0.445984505
149	0.444835251	0.444835251
150	0.4437416051	0.4437416051
151	0.4423202661	0.4423202661
152	0.4410806255	0.4410806255
153	0.4398993067	0.4398993067
154	0.4387249117	0.4387249117
155	0.4375990122	0.4375990122
156	0.4362857712	0.4362857712
157	0.4353950197	0.4353950197
158	0.4341238848	0.4341238848
159	0.4329429325	0.4329429325
160	0.4319647995	0.4319647995
161	0.4307821121	0.4307821121
162	0.4300018723	0.4300018723
163	0.4289332477	0.4289332477
164	0.4281481428	0.4281481428
165	0.4271770789	0.4271770789
166	0.4259245412	0.4259245412
167	0.4250171814	0.4250171814
168	0.4240058553	0.4240058553
169	0.4229717035	0.4229717035
170	0.4220701693	0.4220701693
171	0.4212263585	0.4212263585
172	0.4201539262	0.4201539262
173	0.4191380576	0.4191380576
174	0.4181303926	0.4181303926
175	0.4170126049	0.4170126049
176	0.4159986144	0.4159986144
177	0.4152725598	0.4152725598
178	0.414262675	0.414262675
179	0.4132003034	0.4132003034
180	0.4123579351	0.4123579351
181	0.4111427857	0.4111427857
182	0.410246435	0.410246435
183	0.4094178163	0.4094178163
184	0.408369507	0.408369507
185	0.4071034261	0.4071034261
186	0.4060143843	0.4060143843
187	0.4050906909	0.4050906909
188	0.4040309241	0.4040309241
189	0.4030476859	0.4030476859
190	0.4019045675	0.4019045675
191	0.4008767868	0.4008767868
192	0.4002286695	0.4002286695
193	0.399147204	0.399147204
194	0.3983989564	0.3983989564
195	0.3974470115	0.3974470115
196	0.3961182476	0.3961182476
197	0.39511226	0.39511226
198	0.3941313275	0.3941313275
199	0.3931065837	0.3931065837
200	0.3921709193	0.3921709193
201	0.391354681	0.391354681
202	0.3904906697	0.3904906697
203	0.3896237047	0.3896237047
204	0.3885860963	0.3885860963
205	0.3877705674	0.3877705674
206	0.386905143	0.386905143
207	0.3860151218	0.3860151218
208	0.3851207464	0.3851207464
209	0.3842227955	0.3842227955
210	0.3834913493	0.3834913493
211	0.3826605559	0.3826605559
212	0.3814597786	0.3814597786
213	0.3803569985	0.3803569985
214	0.3795560948	0.3795560948
215	0.3788088272	0.3788088272
216	0.3780344149	0.3780344149
217	0.3769849903	0.3769849903
218	0.3763223832	0.3763223832
219	0.3753632751	0.3753632751
220	0.3745318221	0.3745318221
221	0.3736284778	0.3736284778
222	0.3726081951	0.3726081951
223	0.3718798949	0.3718798949
224	0.3711031179	0.3711031179
225	0.3703152688	0.3703152688
226	0.3693036918	0.3693036918
227	0.3686391869	0.3686391869
228	0.3678045972	0.3678045972
229	0.366906957	0.366906957
230	0.3658986941	0.3658986941
231	0.3652788539	0.3652788539
232	0.3644608703	0.3644608703
233	0.3636747692	0.3636747692
234	0.3630774369	0.3630774369
235	0.3621762449	0.3621762449
236	0.3614076989	0.3614076989
237	0.3607451614	0.3607451614
238	0.3601566476	0.3601566476
239	0.3593015505	0.3593015505
240	0.3585093292	0.3585093292
241	0.3576952695	0.3576952695
242	0.3571677453	0.3571677453
243	0.3564685189	0.3564685189
244	0.355699147	0.355699147
245	0.3550851569	0.3550851569
246	0.3543798038	0.3543798038
247	0.3535881308	0.3535881308
248	0.3526438496	0.3526438496
249	0.3519499842	0.3519499842
250	0.3510719131	0.3510719131
251	0.350382056	0.350382056
252	0.349513206	0.349513206
253	0.3489042278	0.3489042278
254	0.3480369205	0.3480369205
255	0.3472461689	0.3472461689
256	0.3464901716	0.3464901716
257	0.3458829698	0.3458829698
258	0.3449956123	0.3449956123
259	0.344024935	0.344024935
260	0.3434005156	0.3434005156
261	0.3427130499	0.3427130499
262	0.3418570114	0.3418570114
263	0.3410904983	0.3410904983
264	0.340437258	0.340437258
265	0.3399165505	0.3399165505
266	0.339216686	0.339216686
267	0.3384988967	0.3384988967
268	0.3379287123	0.3379287123
269	0.337191877	0.337191877
270	0.3365515561	0.3365515561
271	0.3358112009	0.3358112009
272	0.3349487312	0.3349487312
273	0.3341901343	0.3341901343
274	0.3332855008	0.3332855008
275	0.3324731652	0.3324731652
276	0.3316091021	0.3316091021
277	0.3309213263	0.3309213263
278	0.3302422254	0.3302422254
279	0.3295498662	0.3295498662
280	0.3289540764	0.3289540764
281	0.3283177387	0.3283177387
282	0.3275195251	0.3275195251
283	0.3268329142	0.3268329142
284	0.3261663233	0.3261663233
285	0.3255391817	0.3255391817
286	0.3249278888	0.3249278888
287	0.3241359654	0.3241359654
288	0.3233854373	0.3233854373
289	0.3224356256	0.3224356256
290	0.3218265196	0.3218265196
291	0.3211261361	0.3211261361
292	0.3203903327	0.3203903327
293	0.3197179746	0.3197179746
294	0.3189106728	0.3189106728
295	0.3180699864	0.3180699864
296	0.3173678519	0.3173678519
297	0.3167006087	0.3167006087
298	0.3160334664	0.3160334664
299	0.3152545482	0.3152545482
300	0.3145802098	0.3145802098
301	0.3139981782	0.3139981782
302	0.3133898506	0.3133898506
303	0.3125924088	0.3125924088
304	0.3120554257	0.3120554257
305	0.3113538433	0.3113538433
306	0.3108295575	0.3108295575
307	0.3101388334	0.3101388334
308	0.3095256253	0.3095256253
309	0.3090917545	0.3090917545
310	0.3085360554	0.3085360554
311	0.3078660346	0.3078660346
312	0.3072768792	0.3072768792
313	0.3066408893	0.3066408893
314	0.3060703466	0.3060703466
315	0.3053426413	0.3053426413
316	0.3046349092	0.3046349092
317	0.3040268231	0.3040268231
318	0.3035488325	0.3035488325
319	0.3028798215	0.3028798215
320	0.3022136167	0.3022136167
