iter	Passed	Remaining
0	5	49997
1	10	53962
2	14	48679
3	18	46453
4	23	46114
5	27	45541
6	31	44633
7	34	43090
8	39	43793
9	42	42836
10	47	42809
11	51	43221
12	55	42781
13	60	42889
14	64	43087
15	69	43541
16	75	44555
17	79	43991
18	83	43767
19	87	43541
20	91	43651
21	95	43316
22	99	42962
23	103	42985
24	109	43561
25	114	43916
26	118	43766
27	123	43817
28	127	43795
29	132	44052
30	138	44414
31	142	44403
32	148	44951
33	154	45293
34	159	45493
35	163	45333
36	169	45512
37	173	45428
38	178	45489
39	182	45386
40	186	45322
41	191	45292
42	195	45344
43	199	45193
44	204	45264
45	209	45242
46	213	45188
47	217	45195
48	222	45164
49	227	45222
50	231	45242
51	237	45528
52	242	45455
53	246	45343
54	249	45079
55	254	45186
56	258	45076
57	261	44872
58	265	44697
59	269	44716
60	274	44741
61	278	44690
62	282	44539
63	287	44680
64	291	44580
65	295	44530
66	299	44442
67	304	44446
68	308	44331
69	311	44235
70	316	44223
71	320	44152
72	324	44192
73	329	44161
74	333	44088
75	337	44014
76	341	44037
77	345	43947
78	349	43894
79	353	43870
80	358	43846
81	363	43953
82	368	44053
83	373	44117
84	378	44139
85	381	43993
86	385	43878
87	389	43922
88	395	43988
89	399	43966
90	402	43876
91	406	43809
92	410	43722
93	415	43776
94	421	43936
95	425	43925
96	430	43903
97	434	43877
98	438	43811
99	443	43905
100	447	43870
101	452	43891
102	456	43889
103	460	43808
104	464	43757
105	468	43735
106	472	43682
107	477	43705
108	481	43735
109	487	43837
110	492	43887
111	497	43937
112	502	44001
113	507	43998
114	511	43957
115	515	43922
116	519	43918
117	523	43831
118	527	43833
119	532	43819
120	536	43822
121	541	43823
122	546	43866
123	550	43817
124	554	43820
125	558	43741
126	561	43689
127	567	43769
128	571	43738
129	576	43751
130	581	43803
131	584	43718
132	589	43697
133	594	43751
134	599	43821
135	605	43882
136	609	43896
137	615	43957
138	619	43974
139	623	43897
140	627	43876
141	631	43843
142	636	43874
143	641	43915
144	647	43989
145	652	44035
146	656	44012
147	660	43985
148	665	44021
149	670	44038
150	675	44092
151	681	44140
152	685	44146
153	690	44145
154	695	44176
155	701	44239
156	706	44270
157	710	44248
158	714	44250
159	719	44272
160	724	44296
161	729	44299
162	733	44269
163	738	44298
164	742	44269
165	747	44309
166	752	44299
167	756	44245
168	761	44300
169	765	44276
170	769	44258
171	773	44221
172	778	44228
173	783	44269
174	788	44258
175	793	44288
176	798	44321
177	802	44303
178	806	44263
179	811	44256
180	815	44237
181	820	44260
182	824	44236
183	828	44224
184	833	44246
185	838	44242
186	842	44224
187	846	44199
188	852	44241
189	856	44198
190	861	44233
191	866	44258
192	871	44273
193	874	44217
194	879	44212
195	883	44175
196	887	44182
197	892	44190
198	897	44193
199	901	44156
200	906	44189
201	910	44183
202	916	44211
203	921	44237
204	925	44210
205	929	44212
206	933	44186
207	938	44199
208	943	44190
209	948	44199
210	952	44189
211	957	44185
212	961	44189
213	965	44169
214	969	44134
215	973	44108
216	978	44104
217	981	44050
218	986	44053
219	991	44096
220	996	44077
221	999	44041
222	1004	44059
223	1009	44047
224	1013	44047
225	1017	43996
226	1021	43976
227	1027	44023
228	1032	44047
229	1037	44074
230	1042	44093
231	1045	44037
232	1051	44069
233	1055	44041
234	1060	44075
235	1064	44057
236	1068	44033
237	1072	43987
238	1076	43957
239	1080	43921
240	1084	43911
241	1088	43891
242	1092	43865
243	1096	43845
244	1101	43843
245	1106	43875
246	1110	43844
247	1114	43836
248	1118	43820
249	1123	43818
250	1128	43815
251	1132	43806
252	1137	43808
253	1141	43780
254	1146	43796
255	1151	43814
256	1155	43812
257	1160	43805
258	1164	43808
259	1172	43918
260	1177	43937
261	1180	43894
262	1185	43892
263	1189	43885
264	1194	43895
265	1199	43897
266	1204	43899
267	1208	43895
268	1212	43867
269	1217	43873
270	1221	43854
271	1226	43853
272	1230	43849
273	1236	43898
274	1241	43901
275	1246	43900
276	1251	43919
277	1255	43900
278	1258	43858
279	1262	43842
280	1266	43818
281	1271	43809
282	1275	43780
283	1278	43753
284	1283	43745
285	1286	43708
286	1290	43689
287	1296	43732
288	1301	43744
289	1306	43732
290	1312	43780
291	1316	43778
292	1320	43761
293	1325	43749
294	1329	43745
295	1333	43725
296	1337	43692
297	1340	43658
298	1345	43654
299	1351	43684
300	1355	43687
301	1359	43670
302	1365	43686
303	1370	43699
304	1375	43720
305	1379	43704
306	1383	43693
307	1388	43700
308	1392	43686
309	1396	43666
310	1401	43652
311	1406	43678
312	1410	43663
313	1414	43635
314	1418	43615
315	1423	43614
316	1427	43614
317	1431	43593
318	1436	43583
319	1441	43603
320	1446	43618
321	1450	43600
322	1455	43612
323	1460	43607
324	1465	43621
325	1469	43621
326	1474	43619
327	1479	43633
328	1482	43588
329	1487	43600
330	1492	43585
331	1496	43567
332	1501	43580
333	1505	43582
334	1509	43554
335	1514	43552
336	1518	43553
337	1523	43551
338	1527	43529
339	1532	43528
340	1536	43534
341	1540	43508
342	1544	43495
343	1548	43472
344	1553	43463
345	1556	43438
346	1561	43425
347	1565	43417
348	1569	43399
349	1573	43378
350	1577	43368
351	1581	43345
352	1586	43367
353	1590	43341
354	1596	43367
355	1601	43377
356	1606	43399
357	1611	43402
358	1617	43430
359	1621	43430
360	1626	43440
361	1632	43452
362	1637	43476
363	1642	43490
364	1647	43485
365	1650	43449
366	1655	43462
367	1660	43454
368	1666	43501
369	1670	43484
370	1675	43480
371	1679	43473
372	1684	43466
373	1687	43442
374	1692	43438
375	1696	43425
376	1702	43449
377	1706	43443
378	1711	43435
379	1715	43439
380	1720	43447
381	1725	43456
382	1729	43427
383	1733	43417
384	1737	43396
385	1742	43390
386	1746	43383
387	1750	43375
388	1754	43358
389	1758	43339
390	1762	43326
391	1767	43332
392	1772	43317
393	1775	43285
394	1780	43288
395	1784	43268
396	1788	43255
397	1793	43261
398	1797	43253
399	1801	43231
400	1804	43205
401	1808	43175
402	1813	43175
403	1817	43162
404	1821	43151
405	1825	43143
406	1831	43160
407	1835	43159
408	1841	43171
409	1844	43146
410	1848	43129
411	1852	43112
412	1856	43096
413	1860	43085
414	1865	43085
415	1870	43083
416	1873	43056
417	1877	43036
418	1881	43019
419	1885	43001
420	1889	42995
421	1893	42983
422	1898	42972
423	1902	42975
424	1907	42978
425	1912	42986
426	1917	42987
427	1921	42971
428	1926	42971
429	1930	42964
430	1935	42961
431	1940	42987
432	1944	42966
433	1948	42946
434	1953	42951
435	1958	42957
436	1963	42974
437	1968	42983
438	1973	42971
439	1977	42961
440	1981	42940
441	1985	42931
442	1989	42928
443	1993	42911
444	1997	42885
445	2001	42872
446	2005	42870
447	2010	42876
448	2015	42872
449	2019	42857
450	2024	42858
451	2028	42854
452	2033	42856
453	2037	42837
454	2042	42845
455	2047	42860
456	2052	42868
457	2056	42843
458	2060	42829
459	2065	42838
460	2069	42829
461	2074	42829
462	2079	42833
463	2084	42845
464	2089	42836
465	2093	42836
466	2097	42822
467	2102	42822
468	2106	42815
469	2111	42804
470	2115	42807
471	2120	42801
472	2124	42782
473	2128	42770
474	2132	42764
475	2136	42750
476	2140	42736
477	2145	42739
478	2150	42749
479	2154	42735
480	2158	42721
481	2163	42729
482	2167	42717
483	2172	42713
484	2176	42701
485	2181	42703
486	2186	42710
487	2190	42704
488	2194	42690
489	2199	42690
490	2203	42678
491	2208	42675
492	2213	42693
493	2219	42700
494	2224	42710
495	2228	42709
496	2233	42713
497	2238	42705
498	2242	42698
499	2245	42664
500	2249	42645
501	2252	42624
502	2257	42614
503	2262	42629
504	2267	42632
505	2271	42620
506	2276	42619
507	2279	42600
508	2284	42597
509	2288	42587
510	2292	42562
511	2296	42552
512	2299	42532
513	2304	42533
514	2309	42543
515	2314	42538
516	2318	42523
517	2322	42520
518	2327	42513
519	2332	42518
520	2336	42508
521	2340	42502
522	2346	42512
523	2350	42512
524	2355	42511
525	2358	42488
526	2364	42510
527	2368	42494
528	2373	42486
529	2377	42488
530	2380	42458
531	2386	42471
532	2391	42478
533	2397	42492
534	2402	42503
535	2406	42484
536	2410	42471
537	2415	42475
538	2419	42466
539	2424	42468
540	2429	42475
541	2434	42474
542	2439	42483
543	2444	42495
544	2448	42482
545	2453	42478
546	2457	42474
547	2462	42465
548	2466	42461
549	2470	42451
550	2475	42445
551	2479	42434
552	2483	42425
553	2488	42422
554	2492	42422
555	2497	42421
556	2501	42415
557	2506	42419
558	2511	42423
559	2515	42401
560	2519	42395
561	2524	42402
562	2529	42399
563	2534	42402
564	2539	42409
565	2544	42408
566	2548	42397
567	2551	42376
568	2557	42386
569	2562	42393
570	2567	42398
571	2572	42407
572	2577	42407
573	2582	42404
574	2587	42412
575	2592	42416
576	2597	42418
577	2602	42419
578	2607	42431
579	2612	42425
580	2617	42441
581	2623	42446
582	2627	42441
583	2633	42454
584	2638	42463
585	2643	42468
586	2649	42484
587	2654	42491
588	2658	42482
589	2663	42475
590	2668	42477
591	2672	42471
592	2676	42465
593	2681	42468
594	2686	42469
595	2691	42463
596	2695	42455
597	2700	42460
598	2705	42453
599	2709	42446
600	2713	42437
601	2717	42429
602	2722	42432
603	2727	42427
604	2732	42428
605	2736	42419
606	2741	42418
607	2745	42408
608	2750	42413
609	2754	42398
